AnnualIncome,Deductions,HRA,Age,EmploymentType,MaritalStatus,EffectiveStrategy
1862770,80610,70989,25,Public,Single,Increase 80C Investments
459743,73857,61647,54,Private,Single,No Action Needed
1112923,168529,48069,35,Self-Employed,Single,No Action Needed
1147385,156625,146998,48,Public,Single,NPS Contributions
1837315,67487,61032,55,Self-Employed,Married,Increase 80C Investments
1059595,111487,85192,61,Self-Employed,Married,NPS Contributions
1051228,165812,62329,30,Public,Married,Invest in ELSS
842542,165359,44056,34,Self-Employed,Single,Invest in ELSS
1797660,112186,43123,58,Public,Single,NPS Contributions
758251,89072,24680,31,Public,Single,No Action Needed
850149,118444,90203,23,Public,Single,Invest in ELSS
1758917,169966,6544,36,Private,Married,Use HRA Benefits
902420,118586,139586,52,Self-Employed,Single,NPS Contributions
1487381,177557,144957,37,Self-Employed,Married,No Action Needed
1728415,85661,101269,31,Public,Single,Increase 80C Investments
500475,67079,31466,37,Public,Single,No Action Needed
331884,55498,24345,28,Self-Employed,Single,No Action Needed
914835,165809,97625,44,Private,Single,No Action Needed
789268,40664,15960,38,Public,Single,No Action Needed
1047273,42828,51079,51,Private,Single,Increase 80C Investments
1903357,172706,110009,53,Private,Single,NPS Contributions
339457,103711,63652,39,Public,Single,No Action Needed
442337,38315,111037,64,Private,Single,No Action Needed
329041,166217,140953,44,Public,Single,No Action Needed
586705,149061,135970,52,Public,Married,No Action Needed
1830272,42438,8401,34,Private,Single,Increase 80C Investments
1086714,81936,33498,51,Public,Married,Increase 80C Investments
386491,45868,57031,35,Self-Employed,Single,No Action Needed
1057142,92926,19996,65,Private,Married,Increase 80C Investments
640059,141164,145793,61,Self-Employed,Single,No Action Needed
1800837,168097,66691,40,Self-Employed,Married,No Action Needed
913683,115229,13799,35,Private,Married,Use HRA Benefits
1511924,68808,49974,31,Self-Employed,Single,Increase 80C Investments
1401527,132193,6376,35,Self-Employed,Married,No Action Needed
380667,102091,111353,24,Private,Married,No Action Needed
1293684,89809,128523,32,Private,Single,Increase 80C Investments
1199633,157663,12742,63,Self-Employed,Single,NPS Contributions
1641898,76958,140743,28,Private,Single,Increase 80C Investments
399532,158785,107943,55,Private,Married,No Action Needed
1789154,66815,40354,40,Public,Married,Increase 80C Investments
1743420,196806,8820,55,Private,Single,Use HRA Benefits
1032713,102569,31620,41,Public,Married,No Action Needed
1757663,48739,79684,36,Public,Single,Increase 80C Investments
344319,150876,116341,36,Self-Employed,Single,No Action Needed
1410183,59754,62259,47,Self-Employed,Married,Increase 80C Investments
862813,143616,49819,42,Self-Employed,Married,No Action Needed
1292616,30631,115558,29,Self-Employed,Single,Increase 80C Investments
1851351,142333,3833,30,Public,Married,Invest in ELSS
479010,81000,106475,43,Self-Employed,Married,No Action Needed
538815,154429,2815,21,Private,Single,Use HRA Benefits
620152,148269,100955,60,Private,Married,No Action Needed
662777,78780,41169,35,Public,Married,No Action Needed
1468475,34457,36452,47,Self-Employed,Married,Increase 80C Investments
1271773,187583,78869,47,Public,Married,NPS Contributions
388237,38911,61360,62,Public,Single,No Action Needed
1792406,90472,6290,59,Self-Employed,Single,Increase 80C Investments
1377087,191371,30221,58,Self-Employed,Single,NPS Contributions
338644,52966,5953,27,Public,Married,No Action Needed
1133489,189723,42991,44,Private,Married,Use HRA Benefits
1810712,166029,17823,33,Self-Employed,Single,Invest in ELSS
1294268,190554,59688,28,Public,Single,Invest in ELSS
1267204,183421,98826,27,Private,Single,Invest in ELSS
1306675,83020,80243,26,Self-Employed,Single,Increase 80C Investments
1413733,74555,74072,21,Public,Married,Increase 80C Investments
1402116,36176,12436,36,Private,Married,Increase 80C Investments
1758750,135386,84819,56,Private,Married,NPS Contributions
469677,128154,42790,30,Private,Married,Use HRA Benefits
1450946,161078,36643,57,Private,Married,Use HRA Benefits
1940984,154316,108513,60,Self-Employed,Married,NPS Contributions
1397882,95230,28752,50,Private,Single,Increase 80C Investments
359859,129778,4175,26,Private,Married,Use HRA Benefits
1178881,88986,141081,36,Self-Employed,Single,Increase 80C Investments
1229594,191981,96599,35,Private,Married,No Action Needed
1052279,81413,87450,62,Self-Employed,Single,Increase 80C Investments
919454,137667,108508,59,Public,Married,NPS Contributions
1690029,193836,121573,51,Public,Single,NPS Contributions
791914,57563,19226,34,Self-Employed,Married,No Action Needed
1683224,166780,118195,55,Self-Employed,Single,NPS Contributions
562330,107238,147903,42,Public,Single,No Action Needed
1690668,93558,109974,48,Private,Married,Increase 80C Investments
561233,186039,56188,21,Public,Single,No Action Needed
611970,42360,86629,33,Public,Married,No Action Needed
1532072,84790,55950,43,Private,Single,Increase 80C Investments
430009,83730,73819,65,Public,Single,No Action Needed
1157554,138676,117200,47,Private,Single,NPS Contributions
1104492,127090,43658,65,Public,Single,NPS Contributions
1878431,81248,21421,30,Public,Married,Increase 80C Investments
959712,113487,123748,43,Private,Single,No Action Needed
1262670,110418,54989,48,Self-Employed,Single,NPS Contributions
1016437,153481,133902,60,Private,Single,NPS Contributions
1116021,134104,649,43,Public,Single,No Action Needed
1109304,58211,132381,60,Self-Employed,Single,Increase 80C Investments
1797319,154753,128418,60,Private,Single,NPS Contributions
1051549,71618,75498,28,Self-Employed,Married,Increase 80C Investments
698349,189985,115863,40,Public,Single,No Action Needed
1234988,153195,19612,21,Self-Employed,Single,Invest in ELSS
456383,145104,101922,34,Public,Single,No Action Needed
744614,65542,9818,38,Private,Single,Use HRA Benefits
1749987,105831,57641,29,Private,Married,Use HRA Benefits
1311467,97731,45627,61,Self-Employed,Single,Increase 80C Investments
783502,123328,113659,48,Private,Married,No Action Needed
1266104,110610,145573,29,Self-Employed,Single,Invest in ELSS
453782,116288,26151,47,Private,Married,Use HRA Benefits
763030,50825,22043,24,Private,Single,Use HRA Benefits
1431583,103874,28177,22,Self-Employed,Married,Invest in ELSS
1128833,172472,69584,32,Public,Married,Invest in ELSS
1369115,170248,11667,60,Private,Married,Use HRA Benefits
430172,136849,8283,43,Public,Single,No Action Needed
452326,144252,147505,38,Self-Employed,Single,No Action Needed
808374,82358,125168,49,Private,Single,No Action Needed
345360,116591,47842,63,Self-Employed,Married,No Action Needed
896264,122794,51486,33,Public,Married,Invest in ELSS
1280445,163373,108383,27,Self-Employed,Married,Invest in ELSS
404673,75061,63565,24,Private,Married,No Action Needed
1683861,77479,139314,25,Private,Married,Increase 80C Investments
1317065,108930,111109,31,Private,Single,Invest in ELSS
893575,55410,1041,33,Private,Married,Use HRA Benefits
942030,148818,22120,57,Private,Married,Use HRA Benefits
1888414,47550,34317,53,Private,Single,Increase 80C Investments
756893,178990,70119,31,Public,Married,No Action Needed
1302611,90895,43246,28,Self-Employed,Married,Increase 80C Investments
1542328,177593,120958,48,Private,Married,NPS Contributions
689491,62862,143027,52,Private,Single,No Action Needed
1476292,120164,85444,34,Public,Single,Invest in ELSS
1556574,32663,102452,54,Public,Married,Increase 80C Investments
1221106,36350,82086,55,Self-Employed,Married,Increase 80C Investments
429937,158863,32543,50,Self-Employed,Single,No Action Needed
507787,120612,85010,60,Private,Single,No Action Needed
1377736,159528,102142,62,Public,Single,NPS Contributions
760346,122906,117832,35,Public,Single,No Action Needed
1280253,166623,51741,65,Self-Employed,Single,NPS Contributions
416234,78118,90960,56,Public,Married,No Action Needed
1460264,107702,51057,52,Private,Single,Use HRA Benefits
1172643,75376,57603,34,Private,Single,Increase 80C Investments
674428,77822,102063,64,Self-Employed,Married,No Action Needed
1792801,107742,91300,64,Public,Single,NPS Contributions
967591,165206,68456,48,Self-Employed,Single,NPS Contributions
1319364,134747,112840,24,Self-Employed,Married,Invest in ELSS
1315850,107676,82332,25,Private,Married,Invest in ELSS
472444,84397,56812,56,Self-Employed,Single,No Action Needed
1321296,79514,125820,22,Self-Employed,Married,Increase 80C Investments
1131945,153912,3778,29,Public,Single,Invest in ELSS
1129973,90498,114684,34,Self-Employed,Married,Increase 80C Investments
1008654,197339,60759,23,Self-Employed,Single,Invest in ELSS
1411009,76294,27217,42,Public,Married,Increase 80C Investments
847944,152324,132622,48,Private,Single,No Action Needed
1437347,128818,76581,61,Self-Employed,Single,NPS Contributions
1703919,129429,39118,37,Private,Married,Use HRA Benefits
1298044,108869,50914,22,Private,Married,Use HRA Benefits
1586716,167634,90329,65,Self-Employed,Single,NPS Contributions
1904289,181032,95155,30,Public,Single,Invest in ELSS
1160065,145962,7434,50,Self-Employed,Married,NPS Contributions
495419,77533,127005,21,Public,Single,No Action Needed
1112916,95277,80089,47,Self-Employed,Single,Increase 80C Investments
688888,178232,3633,64,Self-Employed,Single,No Action Needed
1979623,122925,66430,64,Private,Married,NPS Contributions
985611,190005,104640,29,Private,Single,Invest in ELSS
1568179,155447,330,23,Self-Employed,Married,Invest in ELSS
1384608,191534,49741,49,Public,Single,NPS Contributions
1615714,41124,94,65,Private,Single,Increase 80C Investments
688929,183021,58887,35,Public,Single,No Action Needed
1932718,101177,8306,21,Private,Single,Use HRA Benefits
1978438,199995,134828,38,Self-Employed,Single,No Action Needed
774436,75257,3757,22,Private,Single,Use HRA Benefits
1077218,81089,63882,64,Private,Married,Increase 80C Investments
1713788,56275,101939,47,Self-Employed,Married,Increase 80C Investments
936109,73640,131153,65,Public,Single,NPS Contributions
1021153,150837,39827,61,Private,Married,Use HRA Benefits
1668840,179501,108243,21,Self-Employed,Single,Invest in ELSS
939199,96164,89783,43,Public,Single,No Action Needed
1759657,60905,48620,44,Public,Single,Increase 80C Investments
772675,112036,85311,55,Public,Single,No Action Needed
1662146,99543,144694,31,Private,Married,Increase 80C Investments
1982263,158339,29732,31,Private,Single,Use HRA Benefits
1729755,157434,127581,39,Public,Married,No Action Needed
673361,46211,30894,34,Self-Employed,Married,No Action Needed
310785,189294,32043,37,Private,Single,Use HRA Benefits
697003,141670,92836,43,Public,Single,No Action Needed
743616,80666,50905,33,Self-Employed,Single,No Action Needed
1586247,174127,43597,37,Self-Employed,Married,No Action Needed
1716132,180949,3070,54,Self-Employed,Single,NPS Contributions
1404696,44114,71856,65,Public,Single,Increase 80C Investments
682153,93261,120088,55,Self-Employed,Married,No Action Needed
1750306,45242,54270,34,Public,Single,Increase 80C Investments
409653,194640,123028,58,Private,Single,No Action Needed
1089646,95816,62392,43,Private,Single,Increase 80C Investments
470976,144104,5661,38,Self-Employed,Married,No Action Needed
927695,165343,29101,51,Private,Single,Use HRA Benefits
692746,156438,19385,29,Private,Married,Use HRA Benefits
875874,124710,53577,63,Public,Married,No Action Needed
1011593,138750,109918,44,Public,Single,No Action Needed
1850942,127573,59383,37,Public,Married,No Action Needed
801044,122986,97156,48,Self-Employed,Married,No Action Needed
1056382,54475,115312,26,Public,Single,Increase 80C Investments
1641723,116415,16714,44,Private,Single,Use HRA Benefits
321245,118918,61164,30,Self-Employed,Married,No Action Needed
689870,40469,56756,23,Public,Married,No Action Needed
366916,189245,112451,28,Public,Married,No Action Needed
1764807,86774,74634,57,Private,Single,Increase 80C Investments
1231547,132609,78730,39,Self-Employed,Married,No Action Needed
1230492,113996,33190,50,Self-Employed,Single,NPS Contributions
1653336,100959,120824,57,Self-Employed,Single,NPS Contributions
1869868,138632,118205,64,Self-Employed,Single,NPS Contributions
1484961,141654,106192,43,Self-Employed,Single,No Action Needed
1570443,127951,80546,41,Private,Single,No Action Needed
859102,133030,68955,55,Private,Single,No Action Needed
1568525,77624,106709,21,Private,Married,Increase 80C Investments
1091483,33773,43793,44,Self-Employed,Single,Increase 80C Investments
735997,147613,32902,35,Public,Single,No Action Needed
1508300,114828,65278,45,Private,Married,No Action Needed
439806,194837,83172,50,Public,Single,No Action Needed
1746760,31702,26992,63,Private,Married,Increase 80C Investments
1362328,46578,98130,44,Self-Employed,Single,Increase 80C Investments
1297600,182125,30587,21,Private,Single,Use HRA Benefits
1202382,126713,68395,34,Self-Employed,Single,Invest in ELSS
1123337,157557,149167,27,Private,Married,Invest in ELSS
1341493,33792,90558,37,Self-Employed,Married,Increase 80C Investments
1945979,33691,48486,34,Private,Married,Increase 80C Investments
412141,128734,13904,33,Public,Single,No Action Needed
965729,162839,8161,53,Self-Employed,Single,NPS Contributions
400546,37023,148752,33,Public,Single,No Action Needed
1938595,186059,120846,22,Private,Married,Invest in ELSS
1472858,157931,19697,44,Self-Employed,Married,No Action Needed
745750,154692,40638,59,Public,Married,No Action Needed
1211921,80821,13690,25,Self-Employed,Single,Increase 80C Investments
387094,162633,135176,21,Self-Employed,Single,No Action Needed
1146622,190800,79841,44,Public,Married,No Action Needed
1235932,58153,11685,37,Self-Employed,Married,Increase 80C Investments
1642841,109939,21094,43,Self-Employed,Married,No Action Needed
521941,91629,47896,39,Private,Married,Use HRA Benefits
387374,81561,98602,53,Public,Single,No Action Needed
1990525,96361,122861,52,Self-Employed,Single,Increase 80C Investments
1357537,168180,101317,47,Private,Single,NPS Contributions
1364759,144109,149748,55,Public,Single,NPS Contributions
986555,128927,126543,42,Private,Married,No Action Needed
698883,39049,99576,62,Self-Employed,Single,No Action Needed
1182941,121090,129519,49,Private,Single,NPS Contributions
1693225,128033,17773,55,Private,Married,Use HRA Benefits
1892276,33628,27632,27,Self-Employed,Married,Increase 80C Investments
1387989,164388,75221,62,Private,Married,NPS Contributions
1314745,90524,3349,65,Public,Married,Increase 80C Investments
712655,140686,122090,23,Public,Married,No Action Needed
922381,53185,104578,24,Private,Married,Invest in ELSS
1040025,129826,102413,24,Private,Single,Invest in ELSS
1610850,138672,9706,27,Private,Married,Use HRA Benefits
640336,199609,112086,45,Self-Employed,Married,No Action Needed
505184,81021,57625,56,Private,Married,Use HRA Benefits
900981,68521,115863,33,Public,Single,Invest in ELSS
1495938,59784,148335,55,Private,Married,Increase 80C Investments
523387,48411,69190,36,Self-Employed,Married,No Action Needed
1361338,118558,128763,28,Public,Married,Invest in ELSS
1744871,186071,147695,36,Private,Married,No Action Needed
1223607,60172,37804,34,Private,Married,Increase 80C Investments
1841110,52784,77037,31,Self-Employed,Married,Increase 80C Investments
1923536,141986,101268,59,Self-Employed,Married,NPS Contributions
356678,166338,53332,25,Private,Married,Use HRA Benefits
1469598,63613,33788,53,Self-Employed,Married,Increase 80C Investments
1288947,162802,75369,27,Self-Employed,Married,Invest in ELSS
1448246,146175,13194,65,Public,Single,NPS Contributions
359556,82187,34577,56,Private,Single,Use HRA Benefits
1153182,57439,29879,62,Public,Single,Increase 80C Investments
1550809,128731,72415,50,Public,Married,NPS Contributions
609748,135953,69848,58,Public,Married,No Action Needed
1383025,88125,93992,23,Self-Employed,Married,Increase 80C Investments
1396085,196512,53832,65,Private,Married,Use HRA Benefits
1211844,148555,84152,31,Private,Married,Invest in ELSS
1522907,122291,94060,33,Private,Single,Invest in ELSS
1639919,154781,3068,56,Self-Employed,Married,NPS Contributions
1628529,175152,44116,64,Private,Single,Use HRA Benefits
1359031,168543,115138,54,Public,Single,NPS Contributions
1408873,134026,46766,44,Self-Employed,Married,No Action Needed
1482196,170032,20452,23,Private,Single,Use HRA Benefits
611277,111839,26170,65,Self-Employed,Single,No Action Needed
1592924,97508,145722,64,Self-Employed,Single,Increase 80C Investments
1057620,85537,50076,45,Private,Married,Increase 80C Investments
403670,133447,103067,50,Public,Single,No Action Needed
973128,167522,39254,34,Self-Employed,Married,Invest in ELSS
1999809,62060,26261,33,Public,Single,Increase 80C Investments
1700964,131366,123159,22,Private,Single,Invest in ELSS
1653960,104623,36335,32,Private,Married,Use HRA Benefits
889532,165998,29512,63,Self-Employed,Single,No Action Needed
1268517,107979,61825,45,Self-Employed,Married,No Action Needed
1555432,189585,124331,50,Self-Employed,Single,NPS Contributions
1179749,122539,135322,64,Public,Married,NPS Contributions
926502,167553,54680,21,Private,Single,Use HRA Benefits
968335,49466,66905,53,Private,Single,NPS Contributions
1440458,124631,67477,62,Private,Single,NPS Contributions
617231,59196,25359,54,Self-Employed,Married,No Action Needed
810730,93167,140342,37,Self-Employed,Married,No Action Needed
1941737,169874,149764,64,Private,Married,NPS Contributions
648994,104146,85581,46,Private,Single,No Action Needed
521102,130877,138376,22,Self-Employed,Single,No Action Needed
346161,84435,59279,34,Public,Single,No Action Needed
1750443,69028,82478,47,Public,Married,Increase 80C Investments
500587,130725,23002,27,Private,Married,Use HRA Benefits
549182,124328,17166,54,Self-Employed,Single,No Action Needed
823246,65101,128960,32,Self-Employed,Single,Invest in ELSS
1950305,148529,104916,23,Self-Employed,Single,Invest in ELSS
510951,129571,38077,56,Private,Single,Use HRA Benefits
1962950,36352,16088,52,Public,Married,Increase 80C Investments
1499159,87509,82409,46,Public,Single,Increase 80C Investments
1581771,46161,111296,44,Private,Married,Increase 80C Investments
1848289,76795,53988,38,Self-Employed,Single,Increase 80C Investments
1641412,153495,118887,54,Private,Single,NPS Contributions
606438,119355,109075,51,Public,Married,No Action Needed
982570,44524,138319,22,Public,Married,Invest in ELSS
1655640,106717,11426,58,Public,Single,NPS Contributions
1611601,79452,104906,36,Private,Single,Increase 80C Investments
544935,31050,99625,55,Private,Single,No Action Needed
1008673,67774,126575,26,Self-Employed,Single,Increase 80C Investments
314713,101775,59741,28,Private,Single,Use HRA Benefits
977491,50157,4142,29,Public,Married,Invest in ELSS
1976025,144247,118181,24,Private,Single,Invest in ELSS
1001354,71815,80373,49,Self-Employed,Married,Increase 80C Investments
609004,85147,82614,47,Private,Single,No Action Needed
489308,161272,13141,49,Public,Single,No Action Needed
809714,67087,53654,36,Private,Single,Use HRA Benefits
1734203,50368,28365,21,Private,Single,Increase 80C Investments
483711,74849,3586,43,Private,Married,Use HRA Benefits
1370941,81420,100570,28,Self-Employed,Single,Increase 80C Investments
1329900,80492,33416,61,Self-Employed,Married,Increase 80C Investments
1456548,196563,92950,23,Self-Employed,Married,Invest in ELSS
870114,111783,106027,55,Self-Employed,Married,No Action Needed
373950,80818,148253,31,Public,Married,No Action Needed
779491,141800,51929,42,Public,Married,No Action Needed
1505924,63339,91786,58,Private,Single,Increase 80C Investments
1179654,82098,123010,57,Private,Single,Increase 80C Investments
755451,120827,85882,46,Self-Employed,Married,No Action Needed
704363,167282,75591,54,Public,Married,No Action Needed
1420268,121410,115139,44,Self-Employed,Single,No Action Needed
987080,131268,19752,50,Self-Employed,Single,NPS Contributions
1892282,117613,54970,43,Self-Employed,Single,No Action Needed
1138368,40764,70733,31,Self-Employed,Married,Increase 80C Investments
1061639,148687,118012,56,Private,Single,NPS Contributions
1455571,169058,109762,48,Public,Single,NPS Contributions
1787133,114606,85132,62,Public,Married,NPS Contributions
363467,46896,143082,36,Private,Married,No Action Needed
1835021,135469,65604,51,Public,Single,NPS Contributions
998969,49456,130669,63,Public,Married,NPS Contributions
1540101,117310,31085,36,Public,Single,No Action Needed
1631951,113877,40536,22,Private,Married,Use HRA Benefits
1048062,31573,98174,54,Private,Married,Increase 80C Investments
823773,154483,144319,50,Private,Married,No Action Needed
1668276,115663,138630,52,Public,Single,NPS Contributions
1966388,72277,82104,35,Self-Employed,Single,Increase 80C Investments
1209993,39547,2138,23,Self-Employed,Married,Increase 80C Investments
1935259,73120,22523,33,Public,Single,Increase 80C Investments
434894,141794,30398,49,Private,Married,Use HRA Benefits
1870509,125741,113884,36,Public,Single,No Action Needed
1053661,108407,119143,47,Public,Married,NPS Contributions
1056773,67626,56533,49,Public,Married,Increase 80C Investments
1342903,139531,94235,48,Public,Single,NPS Contributions
1407127,120877,82418,44,Public,Married,No Action Needed
333640,72461,73209,53,Public,Single,No Action Needed
551501,148394,130640,29,Private,Married,No Action Needed
1867969,181162,12868,41,Private,Single,Use HRA Benefits
396835,98631,98565,22,Private,Married,No Action Needed
517929,109455,26152,48,Private,Married,Use HRA Benefits
1112383,136686,96506,43,Public,Single,No Action Needed
1422572,61044,70325,56,Self-Employed,Single,Increase 80C Investments
1676376,127410,55933,54,Private,Married,Use HRA Benefits
903489,38809,124103,23,Self-Employed,Married,Invest in ELSS
461280,143239,12500,35,Self-Employed,Married,No Action Needed
466849,161980,59564,39,Private,Single,Use HRA Benefits
1160257,159043,89498,43,Public,Single,No Action Needed
1909325,33634,109341,25,Public,Married,Increase 80C Investments
1109613,104426,36412,27,Public,Single,Invest in ELSS
1106824,178337,84172,49,Self-Employed,Married,NPS Contributions
1191259,182935,99502,37,Private,Single,No Action Needed
752051,131160,61857,33,Self-Employed,Single,No Action Needed
327773,99723,23260,58,Private,Single,Use HRA Benefits
911551,137546,95905,32,Self-Employed,Single,Invest in ELSS
1086646,147082,61896,38,Public,Single,No Action Needed
1375726,157387,109507,32,Self-Employed,Single,Invest in ELSS
1676957,121437,30131,40,Public,Single,No Action Needed
842390,57398,101178,45,Self-Employed,Married,No Action Needed
1971267,123843,76662,48,Public,Single,NPS Contributions
1601705,93935,109052,33,Private,Married,Increase 80C Investments
1240141,72561,71995,54,Public,Single,Increase 80C Investments
521137,189799,91274,39,Self-Employed,Married,No Action Needed
1408920,190847,22073,38,Self-Employed,Single,No Action Needed
1969978,161285,119626,31,Private,Married,Invest in ELSS
1655864,119312,132158,65,Private,Married,NPS Contributions
1530462,137469,91314,26,Private,Single,Invest in ELSS
1244064,80819,84897,57,Private,Married,Increase 80C Investments
1465806,79425,15851,54,Self-Employed,Single,Increase 80C Investments
1236762,131139,91032,59,Private,Married,NPS Contributions
594049,182732,39987,37,Public,Single,No Action Needed
422114,89763,75144,31,Public,Single,No Action Needed
1013413,93580,51354,29,Public,Married,Increase 80C Investments
379891,127786,28553,22,Public,Single,No Action Needed
769881,134018,16928,53,Private,Married,Use HRA Benefits
1869038,55476,2320,43,Public,Single,Increase 80C Investments
1579035,141655,60459,56,Private,Married,NPS Contributions
481945,179026,44350,22,Private,Single,Use HRA Benefits
1354907,45190,30627,62,Public,Married,Increase 80C Investments
1532864,129241,41620,61,Self-Employed,Single,NPS Contributions
1461458,165009,78337,23,Self-Employed,Single,Invest in ELSS
462463,165519,68142,62,Public,Single,No Action Needed
1306401,199277,87998,52,Self-Employed,Single,NPS Contributions
1461723,171615,42275,39,Self-Employed,Single,No Action Needed
698224,161616,40805,37,Public,Single,No Action Needed
1763901,170220,65713,36,Self-Employed,Single,No Action Needed
1179534,59231,58079,22,Private,Single,Increase 80C Investments
1370036,139183,5240,56,Public,Single,NPS Contributions
1317329,185403,9897,29,Self-Employed,Married,Invest in ELSS
783815,56920,135564,22,Private,Married,No Action Needed
1995194,64999,148064,25,Private,Single,Increase 80C Investments
1486326,199319,31185,65,Private,Married,Use HRA Benefits
1043333,110409,144038,53,Self-Employed,Married,NPS Contributions
1174986,126253,21186,25,Self-Employed,Married,Invest in ELSS
1091033,76087,64216,65,Public,Single,Increase 80C Investments
353999,31504,75474,49,Private,Single,No Action Needed
1782345,152006,95569,65,Public,Married,NPS Contributions
1089291,155268,11567,38,Public,Married,No Action Needed
1160863,191897,1951,41,Private,Single,Use HRA Benefits
1428319,86918,124730,41,Public,Single,Increase 80C Investments
964856,52972,112686,50,Private,Married,NPS Contributions
1215366,107838,76435,54,Private,Single,NPS Contributions
550272,176620,91858,45,Public,Single,No Action Needed
1185880,114928,25941,51,Private,Married,Use HRA Benefits
1383729,180996,100667,41,Self-Employed,Single,No Action Needed
1765534,120928,14324,62,Private,Single,Use HRA Benefits
850978,188408,102254,49,Self-Employed,Married,No Action Needed
1938841,163874,74196,42,Private,Single,No Action Needed
359903,88204,9683,26,Public,Married,No Action Needed
1483811,49020,20606,41,Private,Married,Increase 80C Investments
401427,79019,133213,64,Public,Married,No Action Needed
1828227,85829,70189,38,Public,Married,Increase 80C Investments
938633,70187,111155,53,Public,Single,NPS Contributions
1366844,63761,90118,35,Private,Single,Increase 80C Investments
365807,161511,90573,58,Public,Single,No Action Needed
488419,155444,82242,62,Self-Employed,Single,No Action Needed
1961200,129234,28699,54,Private,Single,Use HRA Benefits
1349135,186493,15086,45,Private,Single,Use HRA Benefits
335853,132769,33241,58,Public,Single,No Action Needed
752637,121218,142680,25,Public,Single,No Action Needed
1465766,153554,115819,21,Private,Married,Invest in ELSS
1863263,65528,124687,49,Self-Employed,Married,Increase 80C Investments
1093480,160765,128172,26,Private,Single,Invest in ELSS
1884733,56033,37703,45,Private,Married,Increase 80C Investments
1181604,143458,85185,57,Private,Married,NPS Contributions
753249,136319,90376,61,Private,Single,No Action Needed
1166697,190300,71616,25,Public,Single,Invest in ELSS
1456068,131347,58124,39,Self-Employed,Married,No Action Needed
505731,134418,134026,38,Private,Single,No Action Needed
520258,104837,78754,23,Self-Employed,Single,No Action Needed
713066,138415,59571,21,Private,Married,Use HRA Benefits
934730,168374,18534,35,Self-Employed,Single,No Action Needed
1895700,101197,96753,59,Private,Married,NPS Contributions
1797716,100235,15720,53,Private,Single,Use HRA Benefits
1644313,52026,53856,34,Public,Married,Increase 80C Investments
841395,181851,86485,48,Self-Employed,Married,No Action Needed
1857664,63846,42189,64,Public,Single,Increase 80C Investments
1017162,95655,93854,27,Self-Employed,Married,Increase 80C Investments
1130633,71990,88135,57,Public,Single,Increase 80C Investments
1833302,161459,130268,27,Public,Single,Invest in ELSS
1988996,58166,36620,64,Private,Single,Increase 80C Investments
366866,45947,136196,45,Public,Married,No Action Needed
1661380,91685,73838,56,Self-Employed,Single,Increase 80C Investments
756458,116164,109866,58,Public,Married,No Action Needed
452576,115566,137075,32,Private,Single,No Action Needed
966583,35246,69058,45,Private,Single,No Action Needed
559339,43906,11184,64,Private,Single,Use HRA Benefits
355506,136882,114634,54,Public,Single,No Action Needed
352282,86664,91032,54,Self-Employed,Married,No Action Needed
1025230,85334,131923,21,Self-Employed,Single,Increase 80C Investments
1224745,107557,100076,59,Private,Single,NPS Contributions
745402,163039,122826,47,Self-Employed,Single,No Action Needed
1385276,125244,104639,23,Public,Married,Invest in ELSS
433066,153759,55321,65,Self-Employed,Married,No Action Needed
817931,196824,23486,45,Private,Single,Use HRA Benefits
372157,89235,79365,32,Public,Married,No Action Needed
1712047,47647,14442,41,Private,Single,Increase 80C Investments
585213,141167,86151,51,Public,Single,No Action Needed
1440741,121972,118875,63,Private,Married,NPS Contributions
441990,137721,84167,38,Public,Single,No Action Needed
830944,119157,125927,37,Self-Employed,Married,No Action Needed
1992135,198570,8617,29,Self-Employed,Married,Invest in ELSS
968249,93730,60198,24,Self-Employed,Married,Invest in ELSS
1504981,126464,129483,33,Public,Single,Invest in ELSS
831572,50398,90364,35,Public,Single,No Action Needed
1286693,118888,147201,56,Public,Married,NPS Contributions
1100437,92563,37658,30,Self-Employed,Single,Increase 80C Investments
1218712,111594,142512,28,Public,Single,Invest in ELSS
1849954,131323,128788,59,Private,Married,NPS Contributions
1835236,99319,104197,54,Public,Single,Increase 80C Investments
450994,147245,82334,43,Self-Employed,Single,No Action Needed
1377913,197414,114805,60,Self-Employed,Single,NPS Contributions
635561,158312,102045,54,Private,Married,No Action Needed
1896114,177740,63259,51,Private,Married,NPS Contributions
1630775,138392,68284,51,Self-Employed,Single,NPS Contributions
1510988,105787,25673,47,Private,Single,Use HRA Benefits
966590,65871,142475,29,Public,Single,Invest in ELSS
1547365,117859,44508,38,Self-Employed,Married,No Action Needed
785770,95768,54230,27,Public,Married,No Action Needed
725123,78464,77003,26,Self-Employed,Single,No Action Needed
1039847,125702,103701,41,Public,Single,No Action Needed
462467,161445,62475,64,Public,Married,No Action Needed
1878084,144970,55721,21,Private,Single,Use HRA Benefits
